FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;6;;;
180102;0000;4;;;
180103;0000;6;;;
180104;0000;6;;;
180105;0000;7;;;
180106;0000;6;;;
180107;0000;6;;;
180108;0000;4;;;
180109;0000;4;;;
180110;0000;3;;;
180111;0000;3;;;
180112;0000;5;;;
180113;0000;5;;;
180114;0000;4;;;
180115;0000;3;;;
180116;0000;4;;;
180117;0000;6;;;
180118;0000;5;;;
180119;0000;6;;;
180120;0000;4;;;
180121;0000;4;;;
180122;0000;4;;;
180123;0000;5;;;
180124;0000;5;;;
180125;0000;6;;;
180126;0000;7;;;
180127;0000;8;;;
180128;0000;7;;;
180129;0000;8;;;
180130;0000;5;;;
180131;0000;5;;;
180201;0000;7;;;
180202;0000;;;;
180203;0000;6;;;
180204;0000;8;;;
180205;0000;6;;;
180206;0000;5;;;
180207;0000;6;;;
180208;0000;3;;;
180209;0000;2;;;
180210;0000;4;;;
180211;0000;9;;;
180212;0000;8;;;
180213;0000;8;;;
180214;0000;9;;;
180215;0000;11;;;
180216;0000;7;;;
180217;0000;6;;;
180218;0000;3;;;
180219;0000;2;;;
180220;0000;6;;;
180221;0000;5;;;
180222;0000;8;;;
180223;0000;8;;;
180224;0000;7;;;
180225;0000;5;;;
180226;0000;;;;
180227;0000;;;;
180228;0000;9;;;
180301;0000;6;;;
180302;0000;8;;;
180303;0000;7;;;
180304;0000;8;;;
180305;0000;10;;;
180306;0000;;;;
180307;0000;14;;;
180308;0000;10;;;
180309;0000;11;;;
180310;0000;10;;;
180311;0000;9;;;
180312;0000;11;;;
180313;0000;12;;;
180314;0000;12;;;
180315;0000;10;;;
180316;0000;10;;;
180317;0000;9;;;
180318;0000;5;;;
180319;0000;6;;;
180320;0000;9;;;
180321;0000;8;;;
180322;0000;9;;;
180323;0000;13;;;
180324;0000;10;;;
180325;0000;10;;;
180326;0000;13;;;
180327;0000;12;;;
180328;0000;10;;;
180329;0000;;;7;
180330;0000;;;1;
180331;0000;;;1;
180401;0000;;;;
180402;0000;;;;
180403;0000;12;;;
180404;0000;9;;;
180405;0000;8;;;
180406;0000;11;;;
180407;0000;11;;;
180408;0000;8;;;
180409;0000;8;;;
180410;0000;6;;;
180411;0000;6;;;
180412;0000;6;;;
180413;0000;6;;;
180414;0000;6;;;
180415;0000;9;;;
180416;0000;9;;;
180417;0000;10;;;
180418;0000;17;;;
180419;0000;13;;;
180420;0000;13;;;
180421;0000;13;;;
180422;0000;13;;;
180423;0000;11;;;
180424;0000;13;;;
180425;0000;11;;;
180426;0000;11;;;
180427;0000;17;;;
180428;0000;14;;;
180429;0000;12;;;
180430;0000;;;;
180501;0000;5;;;
180502;0000;7;;;
180503;0000;11;;;
180504;0000;16;;;
180505;0000;16;;;
180506;0000;;;;
180507;0000;12;;;
180508;0000;7;;;
180509;0000;11;;;
180510;0000;6;;;
180511;0000;10;;;
180512;0000;11;;;
180513;0000;14;;;
180514;0000;13;;;
180515;0000;9;;;
180516;0000;10;;;
180517;0000;9;;;
180518;0000;10;;;
180519;0000;13;;;
180520;0000;17;;;
180521;0000;14;;;
180522;0000;16;;;
180523;0000;15;;;
180524;0000;17;;;
180525;0000;14;;;
180526;0000;17;;;
180527;0000;14;;;
180528;0000;12;;;
180529;0000;13;;;
180530;0000;11;;;
180531;0000;7;;;
180601;0000;9;;;
180602;0000;8;;;
180603;0000;9;;;
180604;0000;10;;;
180605;0000;11;;;
180606;0000;20;;;
180607;0000;17;;;
180608;0000;19;;;
180609;0000;17;;;
180610;0000;15;;;
180611;0000;8;;;
180612;0000;10;;;
180613;0000;;;;
180614;0000;;;;
180615;0000;21;;;
180616;0000;22;;;
180617;0000;17;;;
180618;0000;20;;;
180619;0000;;;;
180620;0000;9;;;
180621;0000;12;;;
180622;0000;12;;;
180623;0000;18;;;
180624;0000;11;;;
180625;0000;11;;;
180626;0000;12;;;
180627;0000;14;;;
180628;0000;15;;;
180629;0000;19;;;
